Delete,Delete
"Are you sure you want to delete sitemap item?","Are you sure you want to delete sitemap item?"
Generate,Generate
Reset,Reset
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Sitemap: %1","Sitemap: %1"
"We can't change item right now. Please review the log and try again.","We can't change item right now. Please review the log and try again."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"No records have been changed.","No records have been changed."
"Sitemap has been successfully deleted","Sitemap has been successfully deleted"
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"Sitemap was successfully duplicated","Sitemap was successfully duplicated"
"Edit Sitemap ""%1""","Edit Sitemap ""%1"""
"This sitemap no longer exists.","This sitemap no longer exists."
"Create New Sitemap","Create New Sitemap"
"Sitemap does not exist","Sitemap does not exist"
"Sitemap has been generated","Sitemap has been generated"
"Manage Google XML Sitemaps","Manage Google XML Sitemaps"
"Manage Google XML Sitemaps ","Manage Google XML Sitemaps "
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"No records have been deleted.","No records have been deleted."
"Sitemap was successfully saved","Sitemap was successfully saved"
"Unable to find item to save","Unable to find item to save"
"We can't save the cron expression.","We can't save the cron expression."
"By ID","By ID"
"By Hreflang UUID","By Hreflang UUID"
"By URL Key (Page Identifier)","By URL Key (Page Identifier)"
"Don't Add","Don't Add"
"From Current Store Default Country","From Current Store Default Country"
"With time","With time"
"Without time","Without time"
Always,Always
Hourly,Hourly
Daily,Daily
Weekly,Weekly
Monthly,Monthly
Yearly,Yearly
Never,Never
"From Current Store Locale","From Current Store Locale"
Global,Global
Website,Website
"--Please Select--","--Please Select--"
"Unable to save sitemap with ID %1. Error: %2","Unable to save sitemap with ID %1. Error: %2"
"Unable to save new sitemap. Error: %1","Unable to save new sitemap. Error: %1"
"Sitemap with specified ID ""%1"" not found.","Sitemap with specified ID ""%1"" not found."
"Unable to remove sitemap with ID %1. Error: %2","Unable to remove sitemap with ID %1. Error: %2"
"Unable to remove sitemap. Error: %1","Unable to remove sitemap. Error: %1"
Categories,Categories
Extra,Extra
Pages,Pages
Products,Products
"Invalid sitemap data","Invalid sitemap data"
"Not Generated Yet","Not Generated Yet"
"XML Sitemap extension provides functionality to add custom pages generated by Amasty extensions to the sitemap. Please install appropriate extension to utilize this feature.","XML Sitemap extension provides functionality to add custom pages generated by Amasty extensions to the sitemap. Please install appropriate extension to utilize this feature."
"List of supported extensions:","List of supported extensions:"
"Amasty Improved Layered Navigation (Pages)","Amasty Improved Layered Navigation (Pages)"
"Amasty Shop by Brand","Amasty Shop by Brand"
"Amasty Blog Pro","Amasty Blog Pro"
"Amasty Landing Pages","Amasty Landing Pages"
"Amasty FAQ and Product Questions","Amasty FAQ and Product Questions"
"XML Google Sitemap","XML Google Sitemap"
Information,Information
"Cron Settings","Cron Settings"
Frequency,Frequency
"Start Time","Start Time"
"Hreflang URLs","Hreflang URLs"
"Hreflang URLs Scope","Hreflang URLs Scope"
"Choose <b>Website</b> to work within one website only or <b>Global</b> to work between the websites","Choose <b>Website</b> to work within one website only or <b>Global</b> to work between the websites"
"Language Code","Language Code"
"Country Code","Country Code"
X-default,X-default
"If <b>Hreflang Scope</b> is <b>Global</b>, values from website scope for this setting will be ignored","If <b>Hreflang Scope</b> is <b>Global</b>, values from website scope for this setting will be ignored"
"Multi-Stores CMS Pages Relation","Multi-Stores CMS Pages Relation"
"Choose the way how to identify the same CMS page for different views. By Hreflang UUID option is to be specified for each CMS page manually","Choose the way how to identify the same CMS page for different views. By Hreflang UUID option is to be specified for each CMS page manually"
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"Sitemap configuration","Sitemap configuration"
Back,Back
"Save and Continue Edit","Save and Continue Edit"
Save,Save
General,General
Name,Name
Store,Store
"Path to Sitemap File","Path to Sitemap File"
"Example: ""sitemap/sitemap1.xml"". Make sure path is writable and accessible through internet","Example: ""sitemap/sitemap1.xml"". Make sure path is writable and accessible through internet"
"Max Items per File","Max Items per File"
"If exceed, index file will be created","If exceed, index file will be created"
"Max File Size (kB)","Max File Size (kB)"
"Exclude URLs","Exclude URLs"
"URL to exclude, one per line. Specify URL with * to exclude all similar URLs","URL to exclude, one per line. Specify URL with * to exclude all similar URLs"
"Date Format","Date Format"
"Include Products","Include Products"
"Products Configuration","Products Configuration"
"Add Hreflang Tags","Add Hreflang Tags"
"Add Images","Add Images"
"Add Images Titles","Add Images Titles"
"Template for Image Title","Template for Image Title"
Priority,Priority
"Include Last Modified","Include Last Modified"
"Exclude out of Stock Products","Exclude out of Stock Products"
"Exclude Product Types","Exclude Product Types"
"Include Categories","Include Categories"
"CMS Pages","CMS Pages"
"Include Pages","Include Pages"
"Custom Items","Custom Items"
"Add Item","Add Item"
Remove,Remove
"Item Name","Item Name"
"Include Extra Links","Include Extra Links"
"Extra Links to include","Extra Links to include"
"Add New Sitemap","Add New Sitemap"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"All Store Views","All Store Views"
"Store View","Store View"
"Sitemap ID","Sitemap ID"
Path,Path
Url,Url
"Generated At","Generated At"
"Amasty Xml Sitemap UUID for Hreflangs","Amasty Xml Sitemap UUID for Hreflangs"
